char_position,audio_position

1,4608
183,385536
224,603648
249,749056
282,935936
343,1128448
459,1591296
559,2043392
597,2234368
627,2386432
681,2545152
774,2899456
839,3125760
899,3381760
1025,3884544
1058,4055040
1106,4263936
1251,4916736
1279,5118464
1359,5418496
1399,5602816
1426,5757952
1463,5914112
1511,6108672
1542,6264832
1631,6522880
1678,6692864
1727,6907904
1786,7071744
1843,7226880
1921,7457280
2013,7817216
2110,8129024
2176,8287744
2391,8820224
2425,8990720
2487,9145344
2585,9460224
2639,9690624
2697,9851904
2757,10113024
2812,10313728
2860,10483712
2879,10636288
2945,10826752
2985,10980352
3146,11444736
3216,11620864
3297,11840000
3464,12440576
3497,12607488
3541,12827136
3628,13140992
3664,13300736
3712,13500416
3803,13706752
3878,13982208
3916,14175744
3953,14325248
3987,14487040
4034,14662656
4080,14893568
4123,15055872
4167,15207424
4235,15502336
4307,15755776
4370,15967744
4428,16217088
4497,16476672
4536,16622592
4576,16790016
4635,16990720
4668,17140736
4715,17332736
4778,17509888
4989,18070016
5085,18417664
5199,19049984
5374,19538432
5457,19810816
5505,19989504
5568,20225024
5680,20515328
5742,20782592
5806,21001728
5890,21259264
6009,21616640
6042,21806080
6184,22727168
6248,22922240
6450,23777280
6514,23981056
6576,24192000
6722,24531456
6784,24720384
6866,24931328
6934,25132032
6994,25295360
7055,25459200
7134,25756160
7192,25930752
7247,26106880
7298,26271232
7352,26446848
7410,26618368
7477,26810368
7546,26978816
7641,27237888
7860,28034560
7967,28362752
